purchase_id,id,product,quantity,price,date,city
101,1,Laptop,1,999.99,2024-01-15,New York
102,2,Smartphone,2,699.50,2024-01-20,Los Angeles
103,3,Headphones,1,149.99,2024-02-05,Chicago
104,1,Mouse,3,25.99,2024-02-10,New York
105,4,Keyboard,1,89.99,2024-02-15,Houston
106,5,Monitor,2,299.99,2024-03-01,Phoenix
107,2,Tablet,1,399.99,2024-03-10,Los Angeles
108,6,Webcam,1,79.99,2024-03-15,Philadelphia
109,3,Speaker,2,199.99,2024-04-01,Chicago
110,7,Charger,4,19.99,2024-04-05,San Antonio
111,8,Cable,5,9.99,2024-04-10,San Diego
112,9,Case,3,29.99,2024-05-01,Dallas
113,10,Stand,1,59.99,2024-05-15,San Jose
114,4,Printer,1,199.99,2024-06-01,Houston
115,6,Scanner,1,149.99,2024-06-10,Philadelphia
